Record ID,Created on,Created by,Edited on,Edited by,Company Name,Short Name,Phone,Fax,Email,Web address,Group,Permission,Address 1,Address 2,City,Country,Zone,Postal Code,Tax ID,Dynamics ID,Description
5005,1/2/2017 17:10,Auto Import,,,,,,,,,Vendor,Public,,,,,,,,9002855,
4246,30/5/2016 2:51,Auto Import,,,,,,,,,Vendor,Public,,,,,,,,8000976,
4259,30/5/2016 7:08,Auto Import,,,,,,,,,Vendor,Public,,,,,,,,9000224,
4305,27/1/2017 12:58,Auto Import,,,,,,,,,Vendor,Public,,,,,,,,5000000,
4547,1/2/2017 17:08,Auto Import,13/2/2025 10:32,Janine Kleiber,TMS Technical Marine Solutions GmbH,,,,info@technicalmarine.solutions,,Vendor,Public,Torfgrund 1,,Heidgraben,Germany,,25436,,8200114,
4253,30/5/2016 2:55,Auto Import,,,- - bei superintendent - -,,,,,,Vendor,Public,,,,Germany,,,,9002318,
3997,1/2/2016 16:33,Auto Import,,,- - on hold - -,,,,,,Vendor,Public,,,,Germany,,,,9002317,
4552,1/2/2017 17:08,Auto Import,,,#NAME?,,4.94532E+11,4.94532E+11,blomked@minimax.de,,Vendor,Public,Industriestrasse 10/12,,,Germany,,D-23840 BAD OLDESLOE,,9002320,
4049,1/2/2016 16:34,Auto Import,5/5/2017 10:52,Georgi Hristov,1a Visum Service oHG,,030-20005990,030-200059999,info@1avisum.de,,Vendor,Public,Sprengelstraße 18,,Berlin,Germany,,13353,,8001969,
8228,6/3/2024 22:38,Auto Import,,,2. Bet. PHILIPPA SCHULTE,,,,,,Customer,Public,GmbH,Domstraße  17,Hamburg,Germany,,20095,,3000230,
4167,1/2/2016 16:40,Auto Import,,,2. Bet. PHILIPPA SCHULTE GmbH,,,,,,Vendor,Public,,Domstrasse 17,Hamburg,Germany,,20095,,7000230,
6145,12/4/2019 17:42,Georgi Hristov,,,2.Bet. MS SOFIA SCHULTE GmbH,,,,,,Vendor,Public,Domstrasse 17,,Hamburg,Germany,,20095,,7000260,
7102,3/9/2021 8:28,Nicole Eggers,3/9/2021 8:33,Nicole Eggers,24/7 Ship Spares  INC,,310-670 8630,,Fabian@24-7shipspares.com,,Forwarder,Public,2030 E. Gladwick St Unit A,Rancho Dominguez,Los Angeles,United States of America,California,Ca 90220,,,
3235,18/12/2015 23:33,Georgi Hristov,,,29 19 19 Kurier Overnight,,299 06 44,29 57 77,m.meins@kurierag-hamburg.de,,Vendor,Public,Winterhuder Weg 62,,Hamburg,Germany,,22085,,8190030,
2293,18/12/2015 23:30,Georgi Hristov,,,360Marine Pte Ltd,,,,,,Vendor,Public,380F Pasir Pangjang Road,,Singapore,Singapore,,117428,,8040058,
7380,6/11/2023 16:30,Auto Import,,,3SEAS SHIPPING,,,,,,Vendor,Public,,,,Cyprus,,,,90029220,
